batch,loss,accuracy
273,"tensor(2.9892, device='cuda:0', grad_fn=<NllLossBackward0>)",0.308
274,"tensor(2.8674, device='cuda:0', grad_fn=<NllLossBackward0>)",0.321
275,"tensor(2.8863, device='cuda:0', grad_fn=<NllLossBackward0>)",0.321
276,"tensor(2.8679, device='cuda:0', grad_fn=<NllLossBackward0>)",0.327
277,"tensor(2.9405, device='cuda:0', grad_fn=<NllLossBackward0>)",0.315
278,"tensor(2.8683, device='cuda:0', grad_fn=<NllLossBackward0>)",0.324
279,"tensor(2.7614, device='cuda:0', grad_fn=<NllLossBackward0>)",0.332
280,"tensor(2.7595, device='cuda:0', grad_fn=<NllLossBackward0>)",0.337
281,"tensor(2.8784, device='cuda:0', grad_fn=<NllLossBackward0>)",0.321
282,"tensor(2.8501, device='cuda:0', grad_fn=<NllLossBackward0>)",0.343
283,"tensor(2.8700, device='cuda:0', grad_fn=<NllLossBackward0>)",0.34
284,"tensor(2.9650, device='cuda:0', grad_fn=<NllLossBackward0>)",0.32
285,"tensor(2.9992, device='cuda:0', grad_fn=<NllLossBackward0>)",0.324
286,"tensor(2.7935, device='cuda:0', grad_fn=<NllLossBackward0>)",0.351
287,"tensor(2.7255, device='cuda:0', grad_fn=<NllLossBackward0>)",0.352
288,"tensor(2.8784, device='cuda:0', grad_fn=<NllLossBackward0>)",0.338
289,"tensor(2.8811, device='cuda:0', grad_fn=<NllLossBackward0>)",0.326
290,"tensor(2.8408, device='cuda:0', grad_fn=<NllLossBackward0>)",0.323
291,"tensor(2.7409, device='cuda:0', grad_fn=<NllLossBackward0>)",0.34
292,"tensor(2.7030, device='cuda:0', grad_fn=<NllLossBackward0>)",0.336
293,"tensor(2.7429, device='cuda:0', grad_fn=<NllLossBackward0>)",0.358
294,"tensor(3.0127, device='cuda:0', grad_fn=<NllLossBackward0>)",0.299
295,"tensor(2.9637, device='cuda:0', grad_fn=<NllLossBackward0>)",0.329
296,"tensor(2.8363, device='cuda:0', grad_fn=<NllLossBackward0>)",0.327
297,"tensor(2.9103, device='cuda:0', grad_fn=<NllLossBackward0>)",0.334
298,"tensor(2.8494, device='cuda:0', grad_fn=<NllLossBackward0>)",0.333
299,"tensor(2.9726, device='cuda:0', grad_fn=<NllLossBackward0>)",0.314
300,"tensor(3.0101, device='cuda:0', grad_fn=<NllLossBackward0>)",0.301
301,"tensor(2.8363, device='cuda:0', grad_fn=<NllLossBackward0>)",0.323
302,"tensor(2.7093, device='cuda:0', grad_fn=<NllLossBackward0>)",0.353
303,"tensor(2.7902, device='cuda:0', grad_fn=<NllLossBackward0>)",0.336
304,"tensor(2.7565, device='cuda:0', grad_fn=<NllLossBackward0>)",0.335
305,"tensor(2.9224, device='cuda:0', grad_fn=<NllLossBackward0>)",0.327
306,"tensor(2.7681, device='cuda:0', grad_fn=<NllLossBackward0>)",0.353
307,"tensor(2.8560, device='cuda:0', grad_fn=<NllLossBackward0>)",0.329
308,"tensor(3.0348, device='cuda:0', grad_fn=<NllLossBackward0>)",0.317
309,"tensor(2.8962, device='cuda:0', grad_fn=<NllLossBackward0>)",0.344
310,"tensor(2.7624, device='cuda:0', grad_fn=<NllLossBackward0>)",0.355
311,"tensor(2.8195, device='cuda:0', grad_fn=<NllLossBackward0>)",0.346
312,"tensor(2.9495, device='cuda:0', grad_fn=<NllLossBackward0>)",0.301
313,"tensor(2.7365, device='cuda:0', grad_fn=<NllLossBackward0>)",0.345
314,"tensor(2.9298, device='cuda:0', grad_fn=<NllLossBackward0>)",0.315
315,"tensor(2.7586, device='cuda:0', grad_fn=<NllLossBackward0>)",0.342
316,"tensor(2.9373, device='cuda:0', grad_fn=<NllLossBackward0>)",0.335
317,"tensor(2.9056, device='cuda:0', grad_fn=<NllLossBackward0>)",0.306
318,"tensor(2.8385, device='cuda:0', grad_fn=<NllLossBackward0>)",0.331
319,"tensor(2.7787, device='cuda:0', grad_fn=<NllLossBackward0>)",0.327
320,"tensor(2.8021, device='cuda:0', grad_fn=<NllLossBackward0>)",0.331
321,"tensor(2.6773, device='cuda:0', grad_fn=<NllLossBackward0>)",0.358
322,"tensor(2.6835, device='cuda:0', grad_fn=<NllLossBackward0>)",0.364
323,"tensor(3.0034, device='cuda:0', grad_fn=<NllLossBackward0>)",0.307
324,"tensor(2.7252, device='cuda:0', grad_fn=<NllLossBackward0>)",0.376
325,"tensor(2.8087, device='cuda:0', grad_fn=<NllLossBackward0>)",0.336
326,"tensor(2.7714, device='cuda:0', grad_fn=<NllLossBackward0>)",0.354
327,"tensor(2.9054, device='cuda:0', grad_fn=<NllLossBackward0>)",0.304
328,"tensor(2.8707, device='cuda:0', grad_fn=<NllLossBackward0>)",0.329
329,"tensor(2.8079, device='cuda:0', grad_fn=<NllLossBackward0>)",0.33
330,"tensor(2.7517, device='cuda:0', grad_fn=<NllLossBackward0>)",0.317
331,"tensor(2.8927, device='cuda:0', grad_fn=<NllLossBackward0>)",0.305
332,"tensor(2.7475, device='cuda:0', grad_fn=<NllLossBackward0>)",0.35
333,"tensor(2.8721, device='cuda:0', grad_fn=<NllLossBackward0>)",0.345
334,"tensor(2.8423, device='cuda:0', grad_fn=<NllLossBackward0>)",0.32
335,"tensor(2.7382, device='cuda:0', grad_fn=<NllLossBackward0>)",0.329
336,"tensor(2.8387, device='cuda:0', grad_fn=<NllLossBackward0>)",0.329
337,"tensor(2.7858, device='cuda:0', grad_fn=<NllLossBackward0>)",0.338
338,"tensor(2.8113, device='cuda:0', grad_fn=<NllLossBackward0>)",0.332
339,"tensor(2.7477, device='cuda:0', grad_fn=<NllLossBackward0>)",0.36
340,"tensor(2.9091, device='cuda:0', grad_fn=<NllLossBackward0>)",0.32
341,"tensor(2.8803, device='cuda:0', grad_fn=<NllLossBackward0>)",0.334
342,"tensor(2.7960, device='cuda:0', grad_fn=<NllLossBackward0>)",0.325
343,"tensor(2.9779, device='cuda:0', grad_fn=<NllLossBackward0>)",0.318
344,"tensor(2.7853, device='cuda:0', grad_fn=<NllLossBackward0>)",0.322
345,"tensor(2.9127, device='cuda:0', grad_fn=<NllLossBackward0>)",0.336
346,"tensor(2.8123, device='cuda:0', grad_fn=<NllLossBackward0>)",0.339
347,"tensor(2.8575, device='cuda:0', grad_fn=<NllLossBackward0>)",0.323
348,"tensor(2.8368, device='cuda:0', grad_fn=<NllLossBackward0>)",0.342
349,"tensor(2.8506, device='cuda:0', grad_fn=<NllLossBackward0>)",0.361
350,"tensor(2.8605, device='cuda:0', grad_fn=<NllLossBackward0>)",0.337
351,"tensor(2.9435, device='cuda:0', grad_fn=<NllLossBackward0>)",0.325
352,"tensor(2.8130, device='cuda:0', grad_fn=<NllLossBackward0>)",0.334
353,"tensor(2.7428, device='cuda:0', grad_fn=<NllLossBackward0>)",0.34
354,"tensor(2.7527, device='cuda:0', grad_fn=<NllLossBackward0>)",0.351
355,"tensor(2.7158, device='cuda:0', grad_fn=<NllLossBackward0>)",0.326
356,"tensor(2.8582, device='cuda:0', grad_fn=<NllLossBackward0>)",0.332
357,"tensor(2.8266, device='cuda:0', grad_fn=<NllLossBackward0>)",0.326
358,"tensor(2.6375, device='cuda:0', grad_fn=<NllLossBackward0>)",0.352
359,"tensor(2.8205, device='cuda:0', grad_fn=<NllLossBackward0>)",0.34
360,"tensor(2.8363, device='cuda:0', grad_fn=<NllLossBackward0>)",0.333
361,"tensor(2.7477, device='cuda:0', grad_fn=<NllLossBackward0>)",0.341
362,"tensor(2.7556, device='cuda:0', grad_fn=<NllLossBackward0>)",0.355
363,"tensor(2.8482, device='cuda:0', grad_fn=<NllLossBackward0>)",0.332
364,"tensor(2.6826, device='cuda:0', grad_fn=<NllLossBackward0>)",0.345
365,"tensor(2.9130, device='cuda:0', grad_fn=<NllLossBackward0>)",0.334
366,"tensor(2.5912, device='cuda:0', grad_fn=<NllLossBackward0>)",0.378
367,"tensor(2.8459, device='cuda:0', grad_fn=<NllLossBackward0>)",0.339
368,"tensor(2.8877, device='cuda:0', grad_fn=<NllLossBackward0>)",0.326
369,"tensor(2.9091, device='cuda:0', grad_fn=<NllLossBackward0>)",0.319
370,"tensor(2.6838, device='cuda:0', grad_fn=<NllLossBackward0>)",0.349
371,"tensor(2.8247, device='cuda:0', grad_fn=<NllLossBackward0>)",0.346
372,"tensor(2.7350, device='cuda:0', grad_fn=<NllLossBackward0>)",0.347
373,"tensor(2.7774, device='cuda:0', grad_fn=<NllLossBackward0>)",0.346
374,"tensor(2.6804, device='cuda:0', grad_fn=<NllLossBackward0>)",0.361
375,"tensor(2.8300, device='cuda:0', grad_fn=<NllLossBackward0>)",0.341
376,"tensor(2.8523, device='cuda:0', grad_fn=<NllLossBackward0>)",0.334
377,"tensor(2.8930, device='cuda:0', grad_fn=<NllLossBackward0>)",0.342
378,"tensor(2.8714, device='cuda:0', grad_fn=<NllLossBackward0>)",0.327
379,"tensor(2.8472, device='cuda:0', grad_fn=<NllLossBackward0>)",0.326
380,"tensor(2.6434, device='cuda:0', grad_fn=<NllLossBackward0>)",0.336
381,"tensor(2.8626, device='cuda:0', grad_fn=<NllLossBackward0>)",0.334
382,"tensor(2.9949, device='cuda:0', grad_fn=<NllLossBackward0>)",0.318
383,"tensor(2.7776, device='cuda:0', grad_fn=<NllLossBackward0>)",0.338
384,"tensor(2.9308, device='cuda:0', grad_fn=<NllLossBackward0>)",0.325
385,"tensor(2.9000, device='cuda:0', grad_fn=<NllLossBackward0>)",0.325
386,"tensor(2.8895, device='cuda:0', grad_fn=<NllLossBackward0>)",0.302
387,"tensor(2.9219, device='cuda:0', grad_fn=<NllLossBackward0>)",0.313
388,"tensor(2.8728, device='cuda:0', grad_fn=<NllLossBackward0>)",0.32
389,"tensor(2.9353, device='cuda:0', grad_fn=<NllLossBackward0>)",0.311
390,"tensor(2.8304, device='cuda:0', grad_fn=<NllLossBackward0>)",0.326
391,"tensor(2.8153, device='cuda:0', grad_fn=<NllLossBackward0>)",0.343
392,"tensor(2.8557, device='cuda:0', grad_fn=<NllLossBackward0>)",0.334
393,"tensor(2.7904, device='cuda:0', grad_fn=<NllLossBackward0>)",0.342
394,"tensor(2.7729, device='cuda:0', grad_fn=<NllLossBackward0>)",0.357
395,"tensor(2.7196, device='cuda:0', grad_fn=<NllLossBackward0>)",0.346
396,"tensor(2.8034, device='cuda:0', grad_fn=<NllLossBackward0>)",0.338
397,"tensor(2.9243, device='cuda:0', grad_fn=<NllLossBackward0>)",0.317
398,"tensor(2.8063, device='cuda:0', grad_fn=<NllLossBackward0>)",0.351
399,"tensor(2.7896, device='cuda:0', grad_fn=<NllLossBackward0>)",0.337
400,"tensor(2.7768, device='cuda:0', grad_fn=<NllLossBackward0>)",0.343
401,"tensor(2.8280, device='cuda:0', grad_fn=<NllLossBackward0>)",0.322
402,"tensor(2.8221, device='cuda:0', grad_fn=<NllLossBackward0>)",0.336
403,"tensor(2.8043, device='cuda:0', grad_fn=<NllLossBackward0>)",0.351
404,"tensor(2.6993, device='cuda:0', grad_fn=<NllLossBackward0>)",0.364
405,"tensor(2.8050, device='cuda:0', grad_fn=<NllLossBackward0>)",0.353
406,"tensor(2.9508, device='cuda:0', grad_fn=<NllLossBackward0>)",0.32
407,"tensor(2.8711, device='cuda:0', grad_fn=<NllLossBackward0>)",0.329
408,"tensor(2.9935, device='cuda:0', grad_fn=<NllLossBackward0>)",0.299
409,"tensor(2.7761, device='cuda:0', grad_fn=<NllLossBackward0>)",0.343
410,"tensor(2.8364, device='cuda:0', grad_fn=<NllLossBackward0>)",0.332
411,"tensor(2.8943, device='cuda:0', grad_fn=<NllLossBackward0>)",0.319
412,"tensor(2.8846, device='cuda:0', grad_fn=<NllLossBackward0>)",0.331
413,"tensor(2.7594, device='cuda:0', grad_fn=<NllLossBackward0>)",0.34
414,"tensor(2.7874, device='cuda:0', grad_fn=<NllLossBackward0>)",0.344
415,"tensor(2.7476, device='cuda:0', grad_fn=<NllLossBackward0>)",0.323
416,"tensor(2.6962, device='cuda:0', grad_fn=<NllLossBackward0>)",0.315
417,"tensor(2.8169, device='cuda:0', grad_fn=<NllLossBackward0>)",0.331
418,"tensor(2.7335, device='cuda:0', grad_fn=<NllLossBackward0>)",0.364
419,"tensor(2.6541, device='cuda:0', grad_fn=<NllLossBackward0>)",0.36
420,"tensor(2.7976, device='cuda:0', grad_fn=<NllLossBackward0>)",0.34
421,"tensor(2.7336, device='cuda:0', grad_fn=<NllLossBackward0>)",0.35
422,"tensor(2.7475, device='cuda:0', grad_fn=<NllLossBackward0>)",0.348
423,"tensor(2.7079, device='cuda:0', grad_fn=<NllLossBackward0>)",0.356
424,"tensor(2.8817, device='cuda:0', grad_fn=<NllLossBackward0>)",0.318
425,"tensor(2.7470, device='cuda:0', grad_fn=<NllLossBackward0>)",0.313
426,"tensor(2.7413, device='cuda:0', grad_fn=<NllLossBackward0>)",0.342
427,"tensor(2.8621, device='cuda:0', grad_fn=<NllLossBackward0>)",0.331
428,"tensor(2.8750, device='cuda:0', grad_fn=<NllLossBackward0>)",0.336
429,"tensor(2.8105, device='cuda:0', grad_fn=<NllLossBackward0>)",0.328
430,"tensor(2.9219, device='cuda:0', grad_fn=<NllLossBackward0>)",0.317
431,"tensor(2.9228, device='cuda:0', grad_fn=<NllLossBackward0>)",0.345
432,"tensor(2.9021, device='cuda:0', grad_fn=<NllLossBackward0>)",0.321
433,"tensor(2.8402, device='cuda:0', grad_fn=<NllLossBackward0>)",0.326
434,"tensor(2.8645, device='cuda:0', grad_fn=<NllLossBackward0>)",0.336
435,"tensor(2.8610, device='cuda:0', grad_fn=<NllLossBackward0>)",0.308
436,"tensor(2.8750, device='cuda:0', grad_fn=<NllLossBackward0>)",0.307
437,"tensor(2.8225, device='cuda:0', grad_fn=<NllLossBackward0>)",0.336
438,"tensor(2.7786, device='cuda:0', grad_fn=<NllLossBackward0>)",0.341
439,"tensor(2.8371, device='cuda:0', grad_fn=<NllLossBackward0>)",0.334
440,"tensor(2.8618, device='cuda:0', grad_fn=<NllLossBackward0>)",0.316
441,"tensor(2.7551, device='cuda:0', grad_fn=<NllLossBackward0>)",0.343
442,"tensor(2.8716, device='cuda:0', grad_fn=<NllLossBackward0>)",0.317
443,"tensor(2.8148, device='cuda:0', grad_fn=<NllLossBackward0>)",0.317
444,"tensor(2.9315, device='cuda:0', grad_fn=<NllLossBackward0>)",0.314
445,"tensor(2.8104, device='cuda:0', grad_fn=<NllLossBackward0>)",0.316
446,"tensor(2.7010, device='cuda:0', grad_fn=<NllLossBackward0>)",0.369
447,"tensor(2.8076, device='cuda:0', grad_fn=<NllLossBackward0>)",0.347
448,"tensor(2.8097, device='cuda:0', grad_fn=<NllLossBackward0>)",0.344
449,"tensor(2.9827, device='cuda:0', grad_fn=<NllLossBackward0>)",0.301
450,"tensor(2.9965, device='cuda:0', grad_fn=<NllLossBackward0>)",0.331
451,"tensor(2.8084, device='cuda:0', grad_fn=<NllLossBackward0>)",0.335
452,"tensor(2.9475, device='cuda:0', grad_fn=<NllLossBackward0>)",0.329
453,"tensor(2.9017, device='cuda:0', grad_fn=<NllLossBackward0>)",0.318
454,"tensor(2.8243, device='cuda:0', grad_fn=<NllLossBackward0>)",0.307
455,"tensor(2.8617, device='cuda:0', grad_fn=<NllLossBackward0>)",0.352
456,"tensor(2.8846, device='cuda:0', grad_fn=<NllLossBackward0>)",0.309
457,"tensor(2.8293, device='cuda:0', grad_fn=<NllLossBackward0>)",0.341
458,"tensor(2.8836, device='cuda:0', grad_fn=<NllLossBackward0>)",0.318
459,"tensor(2.8853, device='cuda:0', grad_fn=<NllLossBackward0>)",0.328
460,"tensor(2.8537, device='cuda:0', grad_fn=<NllLossBackward0>)",0.347
461,"tensor(2.6980, device='cuda:0', grad_fn=<NllLossBackward0>)",0.351
462,"tensor(2.7798, device='cuda:0', grad_fn=<NllLossBackward0>)",0.343
463,"tensor(2.8258, device='cuda:0', grad_fn=<NllLossBackward0>)",0.332
464,"tensor(2.6480, device='cuda:0', grad_fn=<NllLossBackward0>)",0.346
465,"tensor(2.9445, device='cuda:0', grad_fn=<NllLossBackward0>)",0.342
466,"tensor(2.7065, device='cuda:0', grad_fn=<NllLossBackward0>)",0.37
467,"tensor(2.8945, device='cuda:0', grad_fn=<NllLossBackward0>)",0.32
468,"tensor(2.8471, device='cuda:0', grad_fn=<NllLossBackward0>)",0.332
469,"tensor(2.9188, device='cuda:0', grad_fn=<NllLossBackward0>)",0.341
470,"tensor(2.7649, device='cuda:0', grad_fn=<NllLossBackward0>)",0.346
471,"tensor(2.8278, device='cuda:0', grad_fn=<NllLossBackward0>)",0.309
472,"tensor(2.9308, device='cuda:0', grad_fn=<NllLossBackward0>)",0.3
473,"tensor(2.7209, device='cuda:0', grad_fn=<NllLossBackward0>)",0.334
474,"tensor(2.8548, device='cuda:0', grad_fn=<NllLossBackward0>)",0.301
475,"tensor(2.8799, device='cuda:0', grad_fn=<NllLossBackward0>)",0.332
476,"tensor(2.8575, device='cuda:0', grad_fn=<NllLossBackward0>)",0.35
477,"tensor(2.7080, device='cuda:0', grad_fn=<NllLossBackward0>)",0.355
478,"tensor(2.8689, device='cuda:0', grad_fn=<NllLossBackward0>)",0.331
479,"tensor(2.8925, device='cuda:0', grad_fn=<NllLossBackward0>)",0.31
480,"tensor(2.8420, device='cuda:0', grad_fn=<NllLossBackward0>)",0.325
481,"tensor(2.8578, device='cuda:0', grad_fn=<NllLossBackward0>)",0.316
482,"tensor(2.8894, device='cuda:0', grad_fn=<NllLossBackward0>)",0.295
483,"tensor(2.7868, device='cuda:0', grad_fn=<NllLossBackward0>)",0.34
484,"tensor(2.8305, device='cuda:0', grad_fn=<NllLossBackward0>)",0.34
485,"tensor(2.7369, device='cuda:0', grad_fn=<NllLossBackward0>)",0.361
486,"tensor(2.9012, device='cuda:0', grad_fn=<NllLossBackward0>)",0.327
487,"tensor(2.8876, device='cuda:0', grad_fn=<NllLossBackward0>)",0.325
488,"tensor(2.8235, device='cuda:0', grad_fn=<NllLossBackward0>)",0.327
489,"tensor(2.8692, device='cuda:0', grad_fn=<NllLossBackward0>)",0.333
490,"tensor(2.7929, device='cuda:0', grad_fn=<NllLossBackward0>)",0.341
491,"tensor(2.8811, device='cuda:0', grad_fn=<NllLossBackward0>)",0.32
492,"tensor(2.6598, device='cuda:0', grad_fn=<NllLossBackward0>)",0.371
493,"tensor(2.8025, device='cuda:0', grad_fn=<NllLossBackward0>)",0.346
494,"tensor(2.9157, device='cuda:0', grad_fn=<NllLossBackward0>)",0.317
495,"tensor(2.8857, device='cuda:0', grad_fn=<NllLossBackward0>)",0.317
496,"tensor(2.7353, device='cuda:0', grad_fn=<NllLossBackward0>)",0.37
497,"tensor(2.7745, device='cuda:0', grad_fn=<NllLossBackward0>)",0.337
498,"tensor(2.8540, device='cuda:0', grad_fn=<NllLossBackward0>)",0.35
499,"tensor(2.7616, device='cuda:0', grad_fn=<NllLossBackward0>)",0.344
500,"tensor(2.8784, device='cuda:0', grad_fn=<NllLossBackward0>)",0.333
501,"tensor(2.8468, device='cuda:0', grad_fn=<NllLossBackward0>)",0.34
502,"tensor(2.7377, device='cuda:0', grad_fn=<NllLossBackward0>)",0.342
503,"tensor(2.8656, device='cuda:0', grad_fn=<NllLossBackward0>)",0.336
504,"tensor(2.7513, device='cuda:0', grad_fn=<NllLossBackward0>)",0.359
505,"tensor(2.9344, device='cuda:0', grad_fn=<NllLossBackward0>)",0.326
506,"tensor(2.7897, device='cuda:0', grad_fn=<NllLossBackward0>)",0.337
507,"tensor(2.7875, device='cuda:0', grad_fn=<NllLossBackward0>)",0.359
508,"tensor(2.8250, device='cuda:0', grad_fn=<NllLossBackward0>)",0.343
509,"tensor(2.7522, device='cuda:0', grad_fn=<NllLossBackward0>)",0.355
510,"tensor(2.7763, device='cuda:0', grad_fn=<NllLossBackward0>)",0.354
511,"tensor(2.7954, device='cuda:0', grad_fn=<NllLossBackward0>)",0.328
512,"tensor(2.7187, device='cuda:0', grad_fn=<NllLossBackward0>)",0.344
513,"tensor(2.8459, device='cuda:0', grad_fn=<NllLossBackward0>)",0.327
514,"tensor(2.8990, device='cuda:0', grad_fn=<NllLossBackward0>)",0.313
515,"tensor(2.7845, device='cuda:0', grad_fn=<NllLossBackward0>)",0.347
516,"tensor(2.6490, device='cuda:0', grad_fn=<NllLossBackward0>)",0.361
517,"tensor(2.6520, device='cuda:0', grad_fn=<NllLossBackward0>)",0.363
518,"tensor(2.9760, device='cuda:0', grad_fn=<NllLossBackward0>)",0.333
519,"tensor(2.7579, device='cuda:0', grad_fn=<NllLossBackward0>)",0.333
520,"tensor(2.7958, device='cuda:0', grad_fn=<NllLossBackward0>)",0.346
521,"tensor(2.8884, device='cuda:0', grad_fn=<NllLossBackward0>)",0.32
522,"tensor(2.7869, device='cuda:0', grad_fn=<NllLossBackward0>)",0.321
523,"tensor(2.8378, device='cuda:0', grad_fn=<NllLossBackward0>)",0.347
524,"tensor(2.9159, device='cuda:0', grad_fn=<NllLossBackward0>)",0.336
525,"tensor(2.8124, device='cuda:0', grad_fn=<NllLossBackward0>)",0.337
526,"tensor(2.9320, device='cuda:0', grad_fn=<NllLossBackward0>)",0.309
527,"tensor(2.8741, device='cuda:0', grad_fn=<NllLossBackward0>)",0.335
528,"tensor(2.8976, device='cuda:0', grad_fn=<NllLossBackward0>)",0.331
529,"tensor(3.0169, device='cuda:0', grad_fn=<NllLossBackward0>)",0.313
530,"tensor(2.8235, device='cuda:0', grad_fn=<NllLossBackward0>)",0.322
531,"tensor(2.8108, device='cuda:0', grad_fn=<NllLossBackward0>)",0.336
532,"tensor(2.8532, device='cuda:0', grad_fn=<NllLossBackward0>)",0.352
533,"tensor(2.9810, device='cuda:0', grad_fn=<NllLossBackward0>)",0.324
534,"tensor(2.7635, device='cuda:0', grad_fn=<NllLossBackward0>)",0.322
535,"tensor(2.7973, device='cuda:0', grad_fn=<NllLossBackward0>)",0.342
536,"tensor(2.8392, device='cuda:0', grad_fn=<NllLossBackward0>)",0.348
537,"tensor(2.8563, device='cuda:0', grad_fn=<NllLossBackward0>)",0.336
538,"tensor(2.8093, device='cuda:0', grad_fn=<NllLossBackward0>)",0.318
539,"tensor(2.8437, device='cuda:0', grad_fn=<NllLossBackward0>)",0.336
540,"tensor(2.8809, device='cuda:0', grad_fn=<NllLossBackward0>)",0.321
541,"tensor(2.6974, device='cuda:0', grad_fn=<NllLossBackward0>)",0.362
542,"tensor(2.7819, device='cuda:0', grad_fn=<NllLossBackward0>)",0.326
543,"tensor(2.8144, device='cuda:0', grad_fn=<NllLossBackward0>)",0.314
544,"tensor(2.8154, device='cuda:0', grad_fn=<NllLossBackward0>)",0.312
545,"tensor(2.8629, device='cuda:0', grad_fn=<NllLossBackward0>)",0.316
546,"tensor(2.7781, device='cuda:0', grad_fn=<NllLossBackward0>)",0.316
547,"tensor(2.8466, device='cuda:0', grad_fn=<NllLossBackward0>)",0.356
548,"tensor(2.9921, device='cuda:0', grad_fn=<NllLossBackward0>)",0.334
549,"tensor(2.8248, device='cuda:0', grad_fn=<NllLossBackward0>)",0.334
550,"tensor(2.9176, device='cuda:0', grad_fn=<NllLossBackward0>)",0.332
551,"tensor(2.7745, device='cuda:0', grad_fn=<NllLossBackward0>)",0.322
552,"tensor(2.7716, device='cuda:0', grad_fn=<NllLossBackward0>)",0.337
553,"tensor(2.9101, device='cuda:0', grad_fn=<NllLossBackward0>)",0.313
554,"tensor(2.8718, device='cuda:0', grad_fn=<NllLossBackward0>)",0.338
555,"tensor(2.8928, device='cuda:0', grad_fn=<NllLossBackward0>)",0.329
556,"tensor(2.9191, device='cuda:0', grad_fn=<NllLossBackward0>)",0.328
557,"tensor(2.7987, device='cuda:0', grad_fn=<NllLossBackward0>)",0.342
558,"tensor(2.8835, device='cuda:0', grad_fn=<NllLossBackward0>)",0.305
559,"tensor(2.7298, device='cuda:0', grad_fn=<NllLossBackward0>)",0.343
560,"tensor(2.8200, device='cuda:0', grad_fn=<NllLossBackward0>)",0.32
561,"tensor(2.8115, device='cuda:0', grad_fn=<NllLossBackward0>)",0.329
562,"tensor(2.7908, device='cuda:0', grad_fn=<NllLossBackward0>)",0.325
563,"tensor(2.7881, device='cuda:0', grad_fn=<NllLossBackward0>)",0.344
564,"tensor(2.7951, device='cuda:0', grad_fn=<NllLossBackward0>)",0.361
565,"tensor(2.9280, device='cuda:0', grad_fn=<NllLossBackward0>)",0.33
566,"tensor(2.9140, device='cuda:0', grad_fn=<NllLossBackward0>)",0.328
567,"tensor(2.8436, device='cuda:0', grad_fn=<NllLossBackward0>)",0.322
568,"tensor(2.6968, device='cuda:0', grad_fn=<NllLossBackward0>)",0.351
569,"tensor(2.7597, device='cuda:0', grad_fn=<NllLossBackward0>)",0.338
570,"tensor(2.7139, device='cuda:0', grad_fn=<NllLossBackward0>)",0.344
571,"tensor(2.7906, device='cuda:0', grad_fn=<NllLossBackward0>)",0.335
572,"tensor(2.8396, device='cuda:0', grad_fn=<NllLossBackward0>)",0.355
573,"tensor(2.8859, device='cuda:0', grad_fn=<NllLossBackward0>)",0.315
574,"tensor(2.7730, device='cuda:0', grad_fn=<NllLossBackward0>)",0.324
575,"tensor(2.9980, device='cuda:0', grad_fn=<NllLossBackward0>)",0.334
576,"tensor(2.9075, device='cuda:0', grad_fn=<NllLossBackward0>)",0.316
577,"tensor(2.8833, device='cuda:0', grad_fn=<NllLossBackward0>)",0.33
578,"tensor(2.9740, device='cuda:0', grad_fn=<NllLossBackward0>)",0.305
579,"tensor(2.6746, device='cuda:0', grad_fn=<NllLossBackward0>)",0.356
580,"tensor(2.8725, device='cuda:0', grad_fn=<NllLossBackward0>)",0.319
581,"tensor(2.7824, device='cuda:0', grad_fn=<NllLossBackward0>)",0.344
582,"tensor(2.8347, device='cuda:0', grad_fn=<NllLossBackward0>)",0.328
583,"tensor(2.7983, device='cuda:0', grad_fn=<NllLossBackward0>)",0.362
584,"tensor(2.7115, device='cuda:0', grad_fn=<NllLossBackward0>)",0.351
585,"tensor(2.8268, device='cuda:0', grad_fn=<NllLossBackward0>)",0.336
586,"tensor(2.7937, device='cuda:0', grad_fn=<NllLossBackward0>)",0.324
587,"tensor(2.7523, device='cuda:0', grad_fn=<NllLossBackward0>)",0.344
588,"tensor(2.7698, device='cuda:0', grad_fn=<NllLossBackward0>)",0.346
589,"tensor(2.8288, device='cuda:0', grad_fn=<NllLossBackward0>)",0.321
590,"tensor(2.8237, device='cuda:0', grad_fn=<NllLossBackward0>)",0.344
591,"tensor(2.8162, device='cuda:0', grad_fn=<NllLossBackward0>)",0.341
592,"tensor(2.7900, device='cuda:0', grad_fn=<NllLossBackward0>)",0.329
593,"tensor(3.0275, device='cuda:0', grad_fn=<NllLossBackward0>)",0.318
594,"tensor(2.7535, device='cuda:0', grad_fn=<NllLossBackward0>)",0.357
595,"tensor(2.8205, device='cuda:0', grad_fn=<NllLossBackward0>)",0.326
596,"tensor(2.6983, device='cuda:0', grad_fn=<NllLossBackward0>)",0.348
597,"tensor(2.7740, device='cuda:0', grad_fn=<NllLossBackward0>)",0.321
598,"tensor(2.8392, device='cuda:0', grad_fn=<NllLossBackward0>)",0.323
599,"tensor(2.7976, device='cuda:0', grad_fn=<NllLossBackward0>)",0.314
600,"tensor(2.8270, device='cuda:0', grad_fn=<NllLossBackward0>)",0.343
601,"tensor(2.8193, device='cuda:0', grad_fn=<NllLossBackward0>)",0.315
602,"tensor(2.8260, device='cuda:0', grad_fn=<NllLossBackward0>)",0.347
603,"tensor(2.7699, device='cuda:0', grad_fn=<NllLossBackward0>)",0.346
604,"tensor(2.7895, device='cuda:0', grad_fn=<NllLossBackward0>)",0.351
605,"tensor(2.8074, device='cuda:0', grad_fn=<NllLossBackward0>)",0.336
